subject_y	initial_alias	converted_alias	name	description
MCINX2_00000455-RB	FBPP0292763	dikar	dikar	dikar
MCINX2_00000456-RA	FBPP0099543	DopEcR	DopEcR	Dopamine/Ecdysteroid receptor
MCINX2_00000457-RA	FBPP0308243	CG44247	CG44247	None
MCINX2_00000458-RA	FBPP0080019	Edem2	Edem2	ER degradation enhancer
MCINX2_00000463-RA	FBPP0112491	zyd	zyd	zydeco
MCINX2_00000465-RB	FBPP0300315	Hk	Hk	Hyperkinetic
MCINX2_00000467-RA	FBPP0080674	msl-1	msl-1	male-specific lethal 1
MCINX2_00000468-RA	FBPP0081084	CG10098	CG10098	None
MCINX2_00000472-RA	FBPP0289957	Evi5	Evi5	Ecotropic viral integration site 5
MCINX2_00000474-RA	FBPP0311906	parvin	parvin	parvin
MCINX2_00000475-RA	FBPP0297140	bor	bor	belphegor
MCINX2_00000476-RA	FBPP0307861	Rab21	Rab21	Rab21
MCINX2_00000479-RA	FBPP0304454	ltl	ltl	larval translucida
MCINX2_00000480-RA	FBPP0304902	CG12084	CG12084	None
MCINX2_00000481-RA	FBPP0310163	Gs2	Gs2	Glutamine synthetase 2
MCINX2_00000483-RA	FBPP0076894	dod	dod	dodo
MCINX2_00000484-RA	FBPP0288465	CG7546	CG7546	None
MCINX2_00000487-RA	FBPP0310245	hec	hec	hector
MCINX2_00000489-RA	FBPP0309055	CG17167	CG17167	None
MCINX2_00000492-RA	FBPP0100163	ppk16	ppk16	pickpocket 16
MCINX2_00000493-RA	FBPP0289519	PGRP-LC	PGRP-LC	Peptidoglycan recognition protein LC
MCINX2_00000495-RA	FBPP0309809	CG10338	CG10338	None
MCINX2_00000496-RA	FBPP0070872	kdn	kdn	knockdown
MCINX2_00000497-RA	FBPP0076608	CG9953	CG9953	None
MCINX2_00000498-RA	FBPP0289879	CG42514	CG42514	None
MCINX2_00000501-RA	FBPP0074247	Socs16D	Socs16D	Suppressor of Cytokine Signaling at 16D
MCINX2_00000502-RA	FBPP0071814	MED23	MED23	Mediator complex subunit 23
MCINX2_00000503-RA	FBPP0099912	fax	fax	failed axon connections
MCINX2_00000504-RA	FBPP0072828	Pxn	Pxn	Peroxidasin
MCINX2_00000505-RA	FBPP0086183	CG15919	CG15919	None
MCINX2_00000508-RA	FBPP0086344	CG8320	CG8320	None
MCINX2_00000509-RA	FBPP0086406	CG8314	CG8314	None
MCINX2_00000510-RA	FBPP0087957	CG30380	CG30380	None
MCINX2_00000512-RA	FBPP0072684	CG13931	CG13931	None
MCINX2_00000515-RA	FBPP0080049	CG9302	CG9302	None
MCINX2_00000517-RA	FBPP0084949	Tpi	Tpi	Triose phosphate isomerase
MCINX2_00000519-RA	FBPP0111539	CG34386	CG34386	None
MCINX2_00000521-RA	FBPP0428099	fray	fray	frayed
MCINX2_00000523-RA	FBPP0071609	twz	twz	tiwaz
MCINX2_00000526-RA	FBPP0076666	ple	ple	pale
MCINX2_00000528-RB	FBPP0084785	alpha-Man-Ib	alpha-Man-Ib	alpha-Mannosidase class I b
MCINX2_00000531-RA	FBPP0291850	CG42673	CG42673	None
MCINX2_00000531-RB	FBPP0291851	CG42673	CG42673	None
MCINX2_00000533-RC	FBPP0071329	Idgf4	Idgf4	Imaginal disc growth factor 4
MCINX2_00000536-RA	FBPP0113012	Taf7	Taf7	TBP-associated factor 7
MCINX2_00000537-RA	FBPP0308969	CG1764	CG1764	None
MCINX2_00000540-RA	FBPP0076691	GluRIA	GluRIA	Glutamate receptor IA
MCINX2_00000541-RC	FBPP0301075	Rdl	Rdl	Resistant to dieldrin
MCINX2_00000543-RA	FBPP0072523	Aplip1	Aplip1	APP-like protein interacting protein 1
MCINX2_00000546-RA	FBPP0074694	Cyp305a1	Cyp305a1	Cyp305a1
MCINX2_00000549-RB	FBPP0301053	Unr	Unr	Upstream of N-ras
MCINX2_00000551-RA	FBPP0309738	CG4928	CG4928	None
MCINX2_00000552-RA	FBPP0086667	CG8531	CG8531	None
MCINX2_00000553-RA	FBPP0072049	CG2812	CG2812	None
MCINX2_00000554-RA	FBPP0303953	CG13288	CG13288	None
MCINX2_00000556-RA	FBPP0297474	CG18659	CG18659	None
MCINX2_00000563-RA	FBPP0111280	CG34174	CG34174	None
MCINX2_00000564-RA	FBPP0292050	CngA	CngA	Cyclic nucleotide-gated ion channel subunit A
MCINX2_00000565-RA	FBPP0290111	sowah	sowah	sosondowah
MCINX2_00000566-RB	FBPP0289778	ara	ara	araucan
MCINX2_00000567-RA	FBPP0075644	mirr	mirr	mirror
MCINX2_00000568-RA	FBPP0072428	Gk1	Gk1	Glycerol kinase 1
MCINX2_00000569-RD	FBPP0086343	CG8366	CG8366	None
MCINX2_00000570-RA	FBPP0309130	Camp	Camp	Cathelicidin-like antimicrobial protein
MCINX2_00000571-RA	FBPP0076718	Best2	Best2	Bestrophin 2
MCINX2_00000573-RA	FBPP0311672	Ubc4	Ubc4	Ubiquitin conjugating enzyme 4
MCINX2_00000574-RA	FBPP0311100	Ddr	Ddr	Discoidin domain receptor
MCINX2_00000576-RB	FBPP0311911	Rrp6	Rrp6	Rrp6
MCINX2_00000577-RA	FBPP0087205	Syx6	Syx6	Syntaxin 6
MCINX2_00000580-RA	FBPP0289642	syd	syd	sunday driver
MCINX2_00000582-RA	FBPP0074192	wus	wus	wurst
MCINX2_00000583-RA	FBPP0071571	Egfr	Egfr	Epidermal growth factor receptor
MCINX2_00000585-RA	FBPP0076323	Prm	Prm	Paramyosin
MCINX2_00000587-RA	FBPP0297586	Fhos	Fhos	Formin homology 2 domain containing
MCINX2_00000588-RB	FBPP0087740	babo	babo	baboon
MCINX2_00000589-RA	FBPP0074009	sl	sl	small wing
MCINX2_00000590-RA	FBPP0072866	PAN3	PAN3	Poly(A) specific ribonuclease subunit PAN3
MCINX2_00000591-RA	FBPP0078007	Syx7	Syx7	Syntaxin 7
MCINX2_00000592-RE	FBPP0088646	MESK2	MESK2	Misexpression suppressor of KSR 2
MCINX2_00000592-RF	FBPP0088649	MESK2	MESK2	Misexpression suppressor of KSR 2
MCINX2_00000595-RA	FBPP0309697	Fkbp14	Fkbp14	FK506-binding protein 14
MCINX2_00000596-RA	FBPP0076084	CG6685	CG6685	None
MCINX2_00000600-RA	FBPP0078732	CG31915	CG31915	None
MCINX2_00000601-RA	FBPP0076362	S-Lap1	S-Lap1	Sperm-Leucylaminopeptidase 1
MCINX2_00000602-RA	FBPP0297861	CG14964	CG14964	None
MCINX2_00000603-RA	FBPP0304924	sls	sls	sallimus
MCINX2_00000604-RA	FBPP0302564	miple1	miple1	midkine and pleiotrophin 1
MCINX2_00000613-RA	FBPP0303897	CG43780	CG43780	None
MCINX2_00000620-RB	FBPP0298351	Arr1	Arr1	Arrestin 1
MCINX2_00000621-RA	FBPP0428412	None	None	None
MCINX2_00000623-RA	FBPP0099899	CG3662	CG3662	None
MCINX2_00000624-RA	FBPP0081585	Kap-alpha3	Kap-alpha3	karyopherin alpha3
MCINX2_00000625-RA	FBPP0307987	CG14551	CG14551	None
MCINX2_00000626-RA	FBPP0077678	dock	dock	dreadlocks
MCINX2_00000629-RA	FBPP0085716	Spt5	Spt5	Spt5
MCINX2_00000630-RB	FBPP0099846	Acsl	Acsl	Acyl-CoA synthetase long-chain
MCINX2_00000631-RA	FBPP0074462	Ulp1	Ulp1	Ulp1
MCINX2_00000632-RA	FBPP0079391	CG9515	CG9515	None
MCINX2_00000633-RA	FBPP0309555	rau	rau	rau
MCINX2_00000634-RA	FBPP0310211	Ca-beta	Ca-beta	Ca2+-channel-protein-beta-subunit
MCINX2_00000640-RA	FBPP0304816	ab	ab	abrupt
MCINX2_00000642-RA	FBPP0271718	Fis1	Fis1	Fission
MCINX2_00000643-RB	FBPP0074822	Atg3	Atg3	Autophagy-related 3
MCINX2_00000644-RA	FBPP0293469	tweek	tweek	tweek
MCINX2_00000645-RA	FBPP0428257	CG17687	CG17687	None
MCINX2_00000647-RA	FBPP0087843	CG2127	CG2127	None
MCINX2_00000649-RA	FBPP0303512	CG31683	CG31683	None
MCINX2_00000650-RA	FBPP0307006	CG17883	CG17883	None
MCINX2_00000652-RA	FBPP0086487	CG8192	CG8192	None
MCINX2_00000657-RA	FBPP0306201	PIG-Wb	PIG-Wb	Phosphatidylinositol glycan anchor biosynthesis class W b
MCINX2_00000658-RA	FBPP0087132	Mppe	Mppe	Metallophosphoesterase
MCINX2_00000659-RA	FBPP0079046	CG4497	CG4497	None
MCINX2_00000660-RA	FBPP0084103	CycB3	CycB3	Cyclin B3
MCINX2_00000661-RA	FBPP0075519	Pex1	Pex1	Peroxin 1
MCINX2_00000662-RA	FBPP0303211	Sox21a	Sox21a	Sox21a
MCINX2_00000675-RA	FBPP0075624	trn	trn	tartan
MCINX2_00000679-RA	FBPP0081820	Tctp	Tctp	Translationally controlled tumor protein
MCINX2_00000682-RA	FBPP0086106	Patronin	Patronin	Patronin
MCINX2_00000683-RA	FBPP0086498	CG11808	CG11808	None
MCINX2_00000684-RA	FBPP0086534	row	row	relative of woc
MCINX2_00000685-RA	FBPP0075450	mop	mop	myopic
MCINX2_00000688-RA	FBPP0291098	spir	spir	spire
MCINX2_00000689-RB	FBPP0306868	RFeSP	RFeSP	Rieske iron-sulfur protein
MCINX2_00000691-RB	FBPP0077545	chinmo	chinmo	Chronologically inappropriate morphogenesis
MCINX2_00000695-RA	FBPP0081186	Edg84A	Edg84A	Ecdysone-dependent gene 84A
MCINX2_00000701-RA	FBPP0087831	Mal-A8	Mal-A8	Maltase A8
MCINX2_00000704-RA	FBPP0306252	Pde1c	Pde1c	Phosphodiesterase 1c
MCINX2_00000705-RA	FBPP0082589	Art3	Art3	Arginine methyltransferase 3
MCINX2_00000706-RA	FBPP0288481	Oseg5	Oseg5	Outer segment 5
MCINX2_00000707-RA	FBPP0301834	CG16965	CG16965	None
MCINX2_00000714-RC	FBPP0083950	Spps	Spps	Sp1-like factor for pairing sensitive-silencing
MCINX2_00000715-RA	FBPP0086444	Gpo1	Gpo1	Glycerophosphate oxidase 1
MCINX2_00000718-RA	FBPP0291869	CG42676	CG42676	None
MCINX2_00000719-RA	FBPP0309732	CngB	CngB	Cyclic nucleotide-gated ion channel subunit B
MCINX2_00000720-RA	FBPP0071712	CG13502	CG13502	None
MCINX2_00000721-RA	FBPP0073610	Set2	Set2	SET domain containing 2
MCINX2_00000722-RA	FBPP0309255	Spase25	Spase25	Spase 25-subunit
